nm,Beta80
660,18.13761102
660.4,-11.16949714
660.8,-15.24925872
661.2,-76.74648773
661.6,-64.71524124
662,-63.88250775
662.4,-35.64475995
662.8,-81.36206171
663.2,-80.69759284
663.6,-70.18721493
664,-106.210368
664.4,-67.05569815
664.8,-47.91026505
665.2,-63.40176039
665.6,-56.68970045
666,-65.67486544
666.4,-85.09019718
666.8,-62.16743114
667.2,-48.34675176
667.6,-50.51914597
668,-70.23227494
668.4,-44.70055631
668.8,-17.53713387
669.2,-49.95147576
669.6,-22.18470024
670,-46.8298564
670.4,-24.014069
670.8,-4.625211974
671.2,21.75725988
671.6,69.13214098
672,36.4075864
672.4,22.99089503
672.8,42.04021098
673.2,-19.40023562
673.6,-17.69215119
674,1.47746843
674.4,13.18654611
674.8,22.63871522
675.2,55.7765907
675.6,3.207524447
676,61.82735802
676.4,76.64491432
676.8,15.22616082
677.2,-0.551248143
677.6,37.00662416
678,19.2198413
678.4,-9.182495559
678.8,5.734810496
679.2,5.114569994
679.6,-22.44941976
680,39.67960741
680.4,29.20513334
680.8,-24.94786247
681.2,17.74298894
681.6,-32.71713048
682,-62.20029743
682.4,7.899905208
682.8,-55.69624117
683.2,-31.91291488
683.6,-125.7448713
684,-43.60668464
684.4,-52.03798723
684.8,-108.1658252
685.2,-73.76270629
685.6,-97.05147746
686,-55.37303512
686.4,-93.25945333
686.8,-41.08035636
687.2,-72.79526874
687.6,-28.69490065
688,-51.77105955
688.4,-61.46334376
688.8,-93.11314586
689.2,-92.65139759
689.6,-41.74100852
690,-63.83876828
690.4,-125.3978054
690.8,-8.104837515
691.2,-44.03078237
691.6,-83.54428087
692,-81.93798457
692.4,-63.78104033
692.8,-63.70573828
693.2,-83.18782622
693.6,-111.6834703
694,-84.30933507
694.4,-79.00382316
694.8,-141.0891497
695.2,-75.92302836
695.6,-46.59607569
696,-76.46299148
696.4,-141.0233344
696.8,-116.3522734
697.2,-91.27522364
697.6,-132.2378641
698,-120.6978829
698.4,-105.8115035
698.8,-156.2593188
699.2,-129.0077554
699.6,-137.1272487
700,-147.4205581
700.4,-104.3551204
700.8,-102.9469454
701.2,-75.76747564
701.6,-103.1857404
702,-90.43696087
702.4,-31.13794123
702.8,-84.92253297
703.2,-91.94808551
703.6,-83.71234856
704,-78.86748093
704.4,-61.74741892
704.8,-100.0237019
705.2,-46.04203994
705.6,-71.52646456
706,-88.66819429
706.4,-96.58418671
706.8,-113.2687911
707.2,-51.05615013
707.6,-87.66613572
708,-108.3431061
708.4,-14.68486988
708.8,-109.5600026
709.2,-72.44567378
709.6,-42.98479774
710,-26.76221491
710.4,-102.7819599
710.8,-75.55165192
711.2,-69.37860127
711.6,-23.48820335
712,-87.01885727
712.4,-45.20866359
712.8,-20.4306304
713.2,-37.56624923
713.6,-58.17614188
714,-51.3803673
714.4,-30.79084214
714.8,-31.20451627
715.2,-91.0171121
715.6,-101.9756721
716,-60.08093879
716.4,-56.34822216
716.8,-75.22027261
717.2,-55.82601492
717.6,-95.55919222
718,-69.19713423
718.4,-17.87503069
718.8,-50.87713814
719.2,-44.55017745
719.6,-60.95327489
720,-16.65029554
720.4,-27.39284684
720.8,-62.35992606
721.2,5.76039308
721.6,-75.1431852
722,-99.58565932
722.4,-52.04328887
722.8,-65.67763849
723.2,-26.28730872
723.6,-103.3407137
724,8.762336831
724.4,-105.2472039
724.8,-62.70143618
725.2,-55.55611833
725.6,-40.06710521
726,-65.05439765
726.4,-44.37184876
726.8,-74.40612984
727.2,-10.56072309
727.6,-54.39385769
728,-42.9879889
728.4,-6.190958122
728.8,-21.95843392
729.2,20.72035043
729.6,-0.6260185
730,-14.20450371
730.4,-30.28516302
730.8,-4.483490551
731.2,7.467653951
731.6,47.60482462
732,8.900512467
732.4,22.57948754
732.8,26.6368127
733.2,-22.07739225
733.6,-14.46515501
734,-3.975405295
734.4,-23.63978309
734.8,-41.49510796
735.2,40.75507347
735.6,-14.01163598
736,29.98943819
736.4,10.10963578
736.8,37.10480134
737.2,-3.986527575
737.6,-29.4061116
738,51.10045547
738.4,16.97932636
738.8,8.372806207
739.2,8.840419198
739.6,42.78805355
740,40.12582484
740.4,31.82280991
740.8,-21.73589496
741.2,24.16762058
741.6,6.724144635
742,9.140466925
742.4,29.00209327
742.8,-19.21819512
743.2,-36.08327657
743.6,-27.2128919
744,-39.46551515
744.4,3.914694758
744.8,12.04438899
745.2,53.20424687
745.6,28.14324721
746,-28.93326849
746.4,-49.99049966
746.8,18.90208001
747.2,-43.30252199
747.6,-55.32457594
748,18.33888405
748.4,32.48027694
748.8,-0.246894157
749.2,19.64500151
749.6,-46.79981335
750,7.671229019
